,DC,CC,BC,EVC
Omladinska(2865),0.0006391818472355385,0.04883416050191965,0.0004135929960364047,2.6491897835548437e-06
Go Vračar(2500),0.0006391818472355385,0.05213609704078912,0.00041153564966189436,0.0006028533546718074
Neoplanta(2092),0.0009587727708533077,0.04378367032813265,0.00041092742783908757,2.596377108632742e-07
Vrtić Plava Ptica(2118),0.0006391818472355385,0.03833713151510696,0.0004090787605498701,1.0907057273460512e-10
Kralja Petra(74),0.0006391818472355385,0.0502747517593753,0.00040791178399919386,0.00452395726067532
Batajnica(2867),0.0006391818472355385,0.029406512851839667,0.00040786873621289244,1.0751428884423407e-12
Lešće /Groblje/(1411),0.0006391818472355385,0.03259918319719953,0.00040426140030069894,9.032580315386543e-11
Susedgradska(3044),0.0006391818472355385,0.0413162029762455,0.0004040037160257002,1.0573705986873438e-09
Vojislava Ilića(427),0.0006391818472355385,0.046460176991150445,0.0004028922714087685,6.940770962697867e-08
Medaković 3(264),0.0006391818472355385,0.0459586093444766,0.0004008374003322666,9.376379505001567e-08
Rucka 4(2717),0.0006391818472355385,0.0388256753235473,0.00040073049609048745,2.2334347397230784e-09
Trg Slavija /Tiršova/(3147),0.0006391818472355385,0.0552973402845277,0.0003967772925775666,0.0036738001135264253
Železnička Stanica Dunav(721),0.0006391818472355385,0.05023762121893263,0.0003944487502173708,0.004789576043972311
Zuce /Brđani 2/(2049),0.0006391818472355385,0.02482919513414431,0.00039343920656008104,4.7048795230796244e-21
Fudbalsko Igralište(2995),0.0006391818472355385,0.035170344060157135,0.00039238662917745,1.2809280711509838e-12
Rucka 4(2718),0.0006391818472355385,0.03873531487143936,0.0003896753574662468,1.5419213044985967e-09
Neoplanta(2093),0.0009587727708533077,0.043649299016530654,0.0003889547059356648,1.806818245054874e-07
Susedgradska(3043),0.0006391818472355385,0.040948529700443645,0.0003868424378321926,3.1816762636712076e-10
Petlovo Brdo(1026),0.0009587727708533077,0.03495464497966844,0.00038626133988100815,3.9620445747590596e-12
Bregalnička(209),0.0006391818472355385,0.04968875055580258,0.0003860336677519851,4.9150037872470285e-05
Vukosave Oljače(2954),0.0006391818472355385,0.03611495844875346,0.0003853015636519132,1.3973643918584691e-11
Donji Kraj(3034),0.0006391818472355385,0.029095338608742548,0.00038231959482082226,2.4271965329855056e-17
Lole Ribara(2295),0.0006391818472355385,0.0477717217056749,0.0003820672580105087,4.593886785446918e-06
Put Za Crvenku(2831),0.0006391818472355385,0.027177972726483104,0.00037978938190950706,2.099788359384847e-15
Trebež (Okretnica)(2977),0.0006391818472355385,0.038667820069204155,0.0003789693097353715,1.023310921473996e-10
Miljakovačke Staze 1(2745),0.0006391818472355385,0.03698406694718926,0.0003778679178603414,3.114198983107854e-11
Lole Ribara(2293),0.0006391818472355385,0.04765676165526905,0.00037532033036640644,3.203640800060945e-06
Mz Kumodraž(2250),0.0006391818472355385,0.03922330583899516,0.00037382535513572323,1.8308265563769286e-09
Voždovac(169),0.0006391818472355385,0.047343097500453915,0.00037361941091814397,3.3767124914826723e-06
Put Za Nestoroviće(2764),0.0006391818472355385,0.024212456763470065,0.00037001122381637776,6.721718734051467e-22
Maksin Sokak(1839),0.0006391818472355385,0.024656627502895913,0.0003693576529272667,8.296186206513842e-19
Savski Park(3104),0.0006391818472355385,0.05856370136068427,0.0003684649908662902,0.0018520769397682088
Preduzeće Petar Velebit(571),0.0006391818472355385,0.03954402416368623,0.0003658831335347383,6.957981539328082e-10
Dušana Jovanovića (573),0.0006391818472355385,0.039458750535952984,0.0003647018039457896,1.6119503939600536e-09
Ilije Stojadinovića(2344),0.0006391818472355385,0.04154606049340096,0.0003627701122050636,3.819133261459777e-09
Milovana Čelebića(2376),0.0006391818472355385,0.044036309900781084,0.00036275553369186976,1.669831702056438e-07
Mihajla Šolohova(1243),0.0006391818472355385,0.03504822070634094,0.0003558428898825435,3.7921570850884154e-10
Surčin /Izlaz/(1806),0.0006391818472355385,0.031174964381432513,0.00035366195565539386,1.1680547639210508e-13
Zuce /Brđani 2/(2050),0.0006391818472355385,0.024792799074528946,0.000353464943680893,3.740468445460071e-21
Lazara Trifunovića(2387),0.0006391818472355385,0.036921225279652616,0.0003523271429025272,1.1006661658637474e-10
Bolja(2191),0.0006391818472355385,0.02391415666103651,0.0003489771946379898,2.5331179004020813e-19
Nikole Begovića(2350),0.0006391818472355385,0.026991589389691612,0.0003473363050197224,1.5316605152920662e-16
Olimpska(2966),0.0006391818472355385,0.03777799241783981,0.000344721556664898,9.100001526177817e-11
Železnicka Rampa(1348),0.0006391818472355385,0.023958102034409623,0.00034442680834050006,7.10725473911392e-19
Donji Kraj(3035),0.0006391818472355385,0.029045373533343233,0.0003423453319416347,2.079930983878598e-17
Vojislava Vučkovića(777),0.0006391818472355385,0.05170277103058544,0.0003383976939294861,8.829797708878722e-05
Jedanaeste Krajiške Divizije(2206),0.0006391818472355385,0.03504704301075269,0.0003381958267700285,3.1145907436198214e-12
Hajdučki Potok(2590),0.0006391818472355385,0.02722574133370458,0.00033759994287245796,6.444728798082852e-19
Topčidersko Brdo /Senjak/(780),0.0006391818472355385,0.05104904232061866,0.00033702196413209763,5.033012793360075e-05
Kolarska(2588),0.0006391818472355385,0.03859675091588647,0.0003356810487558573,1.8709034819192688e-10
Gp Rad(1063),0.0006391818472355385,0.05685162978305898,0.00033409781295959265,0.0004076224793966395
Slavka Rodića(2463),0.0009587727708533077,0.04528088912043067,0.00032776693381071783,3.299242008098848e-08
Hajdučki Potok(2591),0.0006391818472355385,0.027208459056877767,0.0003273071054443891,6.40726008133594e-19
Pravni Fakultet(109),0.001278363694471077,0.05375734460364911,0.00032691985724371184,0.009343217878576157
Trandafila Duke(2492),0.0006391818472355385,0.02706208972263304,0.00032675397110628994,1.295056780744867e-16
Mz Blok 61(1271),0.0006391818472355385,0.04321166673571695,0.00032605232671014067,1.0066510288562057e-08
Blok 29(1096),0.0006391818472355385,0.05186732308916406,0.0003244805287404637,7.280989609503278e-05
Mašinski Park(1366),0.0006391818472355385,0.03073402155015765,0.00032204302789105144,3.100217182805765e-12
Mašinski Park(1367),0.0006391818472355385,0.03073402155015765,0.00032204302789105144,3.1002171828057644e-12
Velika Moštanica - M(2822),0.0006391818472355385,0.02704150858604627,0.00031982135711735774,1.3673304061137613e-17
Braće Jakovljević(2173),0.0006391818472355385,0.029463554270755844,0.0003197694108450819,1.8688739902920392e-16
Padinska Skela(1297),0.0006391818472355385,0.032496936210871775,0.00031948875260638253,4.5755580389518775e-11
